TEAM_ID,TEAM_ABBR,WIN,LOSE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,OPP_PTS,OPP_FG_PCT,OPP_FG3_PCT
1610612737,ATL,20,47,2723,6067,0.449,805,2416,0.333,1237,1566,0.79,661,2237,2898,1605,1086.0,523,341,428,1548,1404,7488,7488,0.44971428571428573,0.33289285714285705
1610612738,BOS,48,24,2971,6448,0.461,905,2487,0.364,1336,1668,0.801,768,2549,3317,1655,995.0,595,406,396,1553,1487,8183,8183,0.46165517241379306,0.36575862068965515
1610612739,CLE,19,46,2619,5715,0.458,727,2070,0.351,983,1296,0.758,704,2172,2876,1500,1073.0,447,211,412,1188,1277,6948,6948,0.458037037037037,0.3512962962962962
1610612740,NOP,30,42,3065,6598,0.465,982,2656,0.37,1229,1687,0.729,797,2551,3348,1932,1181.0,539,358,348,1524,1519,8341,8341,0.4703214285714285,0.3747857142857142
1610612741,CHI,22,43,2573,5762,0.447,793,2282,0.348,1006,1332,0.755,680,2041,2721,1510,1005.0,652,265,384,1417,1246,6945,6945,0.44517857142857137,0.34578571428571425
1610612742,DAL,43,32,3124,6772,0.461,1136,3095,0.367,1392,1787,0.779,791,2729,3520,1849,953.0,460,363,311,1462,1601,8776,8776,0.46341379310344827,0.36937931034482757
1610612743,DEN,46,27,3069,6488,0.473,801,2234,0.359,1185,1526,0.777,786,2436,3222,1952,1005.0,586,337,324,1485,1494,8124,8124,0.47389285714285706,0.34900000000000003
1610612744,GSW,15,50,2510,5730,0.438,678,2032,0.334,1214,1511,0.803,647,2138,2785,1663,969.0,534,299,321,1304,1308,6912,6912,0.43734482758620685,0.3386896551724138
1610612745,HOU,44,28,2936,6512,0.451,1126,3261,0.345,1484,1876,0.791,704,2484,3188,1557,1057.0,627,371,354,1566,1515,8482,8482,0.4509310344827586,0.3491379310344828
1610612746,LAC,49,23,2992,6425,0.466,895,2410,0.371,1498,1894,0.791,767,2664,3431,1708,1051.0,511,338,338,1594,1647,8377,8377,0.4694827586206897,0.37917241379310346
1610612747,LAL,52,19,3006,6269,0.48,782,2242,0.349,1260,1728,0.729,757,2490,3247,1803,1077.0,612,468,263,1471,1544,8054,8054,0.4833793103448276,0.3505172413793104
1610612748,MIA,44,29,2880,6160,0.468,979,2584,0.379,1440,1840,0.783,620,2619,3239,1892,1088.0,547,332,302,1501,1584,8179,8179,0.47044827586206894,0.37927586206896546
1610612749,MIL,56,17,3160,6638,0.476,1007,2840,0.355,1336,1800,0.742,691,3083,3774,1889,1102.0,526,429,326,1431,1586,8663,8663,0.4728275862068966,0.3522068965517241
1610612750,MIN,19,45,2586,5865,0.441,853,2540,0.336,1223,1624,0.753,675,2193,2868,1525,981.0,555,362,355,1370,1383,7248,7248,0.44475,0.34278571428571425
1610612751,BKN,35,37,2908,6498,0.448,941,2746,0.343,1291,1732,0.745,766,2683,3449,1761,1099.0,464,323,379,1510,1521,8048,8048,0.4525862068965517,0.34644827586206894
1610612752,NYK,21,45,2638,5896,0.447,631,1872,0.337,1076,1550,0.694,795,2274,3069,1456,946.0,504,313,333,1464,1305,6983,6983,0.4489642857142857,0.3323928571428571
