SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,OPP_PTS
2019-20,1610612747,LAL,Los Angeles Lakers,0021901310,2020-08-13T00:00:00,LAL vs. SAC,L,48.0,48,98,0.49,15,35,0.429,11,15,0.733,15,32,47,29,17.0,6,1,2,18,15,122,-14.0,1,53,53,53,3,7,4,32,6,17,15,61,64,35,4,48,25,13,51,56,69,8,14,65,18,63,136
2019-20,1610612747,LAL,Los Angeles Lakers,0021901296,2020-08-10T00:00:00,LAL vs. DEN,W,48.0,44,81,0.543,14,29,0.483,22,32,0.688,14,18,32,28,10.0,8,4,2,18,20,124,3.0,1,1,1,1,3,29,66,4,11,48,3,20,12,48,7,71,71,19,5,39,50,8,14,45,14,46,121
2019-20,1610612747,LAL,Los Angeles Lakers,0021901282,2020-08-08T00:00:00,LAL @ IND,L,48.0,42,100,0.42,13,39,0.333,14,19,0.737,15,29,44,20,15.0,13,6,4,16,21,111,-5.0,1,53,53,53,3,39,2,63,20,6,37,52,52,33,4,65,46,59,30,3,32,37,8,40,44,56,116
2019-20,1610612747,LAL,Los Angeles Lakers,0021901273,2020-08-06T00:00:00,LAL @ HOU,L,48.0,35,77,0.455,2,19,0.105,25,36,0.694,12,36,48,18,25.0,11,6,5,20,28,97,-16.0,1,53,53,53,3,65,70,51,71,71,71,6,6,46,19,28,21,66,71,12,32,51,28,5,64,66,113
2019-20,1610612747,LAL,Los Angeles Lakers,0021901265,2020-08-05T00:00:00,LAL vs. OKC,L,48.0,31,88,0.352,5,37,0.135,19,29,0.655,10,36,46,17,11.0,7,3,2,24,23,86,-19.0,1,53,53,53,3,70,33,71,69,10,70,28,17,57,40,28,30,70,8,49,62,8,54,25,71,69,105
2019-20,1610612747,LAL,Los Angeles Lakers,0021901255,2020-08-03T00:00:00,LAL @ UTA,W,48.0,41,82,0.5,9,26,0.346,25,31,0.806,4,34,38,23,14.0,12,3,3,24,29,116,8.0,1,1,1,1,3,42,60,24,47,58,32,6,15,18,70,40,64,48,23,8,62,23,54,3,35,33,108
2019-20,1610612747,LAL,Los Angeles Lakers,0021901243,2020-08-01T00:00:00,LAL @ TOR,L,48.0,29,82,0.354,10,40,0.25,24,33,0.727,8,32,40,17,18.0,8,12,5,25,28,92,-15.0,1,53,53,53,3,71,60,70,41,4,63,11,9,36,54,48,60,70,56,39,4,51,62,5,68,65,107
2019-20,1610612747,LAL,Los Angeles Lakers,0021901232,2020-07-30T00:00:00,LAL vs. LAC,W,48.0,32,82,0.39,11,36,0.306,28,37,0.757,11,34,45,21,16.0,6,3,5,27,30,103,2.0,1,1,1,1,3,69,60,69,32,14,49,3,4,28,29,40,37,55,36,56,62,51,67,2,55,49,101
2019-20,1610612747,LAL,Los Angeles Lakers,0021900968,2020-03-10T00:00:00,LAL vs. BKN,L,48.0,40,87,0.46,15,40,0.375,7,12,0.583,8,38,46,24,15.0,7,4,3,22,18,102,-2.0,1,53,53,53,3,46,37,48,6,4,27,68,66,66,54,17,30,42,30,49,50,23,39,55,57,54,104
2019-20,1610612747,LAL,Los Angeles Lakers,0021900948,2020-03-08T00:00:00,LAL @ LAC,W,48.0,39,87,0.448,10,35,0.286,24,28,0.857,9,36,45,22,14.0,8,7,5,28,26,112,9.0,1,1,1,1,3,50,37,55,41,17,55,11,21,5,51,28,37,52,23,39,25,51,71,13,42,26,103
2019-20,1610612747,LAL,Los Angeles Lakers,0021900939,2020-03-06T00:00:00,LAL vs. MIL,W,48.0,38,91,0.418,6,32,0.188,31,38,0.816,10,42,52,19,16.0,11,4,1,27,32,113,10.0,1,1,1,1,3,56,19,65,65,30,68,2,3,14,40,6,8,63,36,12,50,2,67,1,40,22,103
2019-20,1610612747,LAL,Los Angeles Lakers,0021900915,2020-03-03T00:00:00,LAL vs. PHI,W,48.0,46,86,0.535,13,33,0.394,15,18,0.833,10,33,43,25,13.0,9,6,1,18,17,120,13.0,1,1,1,1,3,18,45,8,20,24,22,44,57,8,40,45,50,35,15,26,32,2,14,59,22,19,107
2019-20,1610612747,LAL,Los Angeles Lakers,0021900900,2020-03-01T00:00:00,LAL @ NOP,W,48.0,50,97,0.515,13,35,0.371,9,10,0.9,6,30,36,23,13.0,9,10,3,26,11,122,8.0,1,1,1,1,3,4,5,17,20,17,28,65,69,2,64,61,68,48,15,26,8,23,66,71,18,33,114
2019-20,1610612747,LAL,Los Angeles Lakers,0021900891,2020-02-29T00:00:00,LAL @ MEM,L,48.0,36,87,0.414,9,35,0.257,7,12,0.583,13,32,45,26,16.0,5,3,4,13,14,88,-17.0,1,53,53,53,3,62,37,66,47,17,62,68,66,66,13,48,37,30,36,62,62,37,1,67,70,67,105
2019-20,1610612747,LAL,Los Angeles Lakers,0021900876,2020-02-27T00:00:00,LAL @ GSW,W,48.0,45,88,0.511,8,24,0.333,18,27,0.667,8,36,44,24,17.0,13,5,3,17,27,116,30.0,1,1,1,1,3,21,33,20,55,63,37,31,29,54,54,28,46,42,51,3,44,23,9,8,35,1,86
2019-20,1610612747,LAL,Los Angeles Lakers,0021900861,2020-02-25T00:00:00,LAL vs. NOP,W,48.0,45,102,0.441,13,44,0.295,15,21,0.714,14,37,51,27,16.0,10,12,2,20,24,118,9.0,1,1,1,1,3,21,1,56,20,2,52,44,44,41,7,22,10,27,36,19,4,8,28,22,29,26,109
2019-20,1610612747,LAL,Los Angeles Lakers,0021900842,2020-02-23T00:00:00,LAL vs. BOS,W,48.0,39,86,0.453,11,34,0.324,25,37,0.676,11,35,46,20,13.0,9,4,3,22,29,114,2.0,1,1,1,1,3,50,45,52,32,23,46,6,4,53,29,35,30,59,15,26,50,23,39,3,37,49,112
2019-20,1610612747,LAL,Los Angeles Lakers,0021900833,2020-02-21T00:00:00,LAL vs. MEM,W,48.0,41,86,0.477,9,29,0.31,26,40,0.65,12,37,49,25,15.0,9,14,1,24,27,117,12.0,1,1,1,1,3,42,45,40,47,48,47,5,1,60,19,22,15,35,30,26,2,2,54,8,32,21,105
2019-20,1610612747,LAL,Los Angeles Lakers,0021900817,2020-02-12T00:00:00,LAL @ DEN,W,53.0,47,93,0.505,12,33,0.364,14,27,0.519,10,39,49,29,12.0,8,4,2,22,26,120,4.0,1,1,1,1,1,11,14,23,26,24,30,52,29,70,40,13,15,13,12,39,50,8,39,13,22,44,116
2019-20,1610612747,LAL,Los Angeles Lakers,0021900801,2020-02-10T00:00:00,LAL vs. PHX,W,48.0,47,91,0.516,14,37,0.378,17,25,0.68,16,43,59,28,16.0,8,4,2,22,19,125,25.0,1,1,1,1,3,11,19,15,11,10,26,37,32,50,3,3,2,19,36,39,50,8,39,51,10,7,100
2019-20,1610612747,LAL,Los Angeles Lakers,0021900783,2020-02-08T00:00:00,LAL @ GSW,W,48.0,43,82,0.524,14,29,0.483,25,34,0.735,12,35,47,29,24.0,11,2,6,22,27,125,5.0,1,1,1,1,3,33,60,12,11,48,3,6,7,34,19,35,25,13,70,12,68,60,39,8,10,41,120
2019-20,1610612747,LAL,Los Angeles Lakers,0021900768,2020-02-06T00:00:00,LAL vs. HOU,L,48.0,45,91,0.495,9,31,0.29,12,16,0.75,6,32,38,33,16.0,10,4,4,18,22,111,-10.0,1,53,53,53,3,21,19,29,47,37,54,57,61,29,64,48,64,3,36,19,50,37,14,31,44,61,121
2019-20,1610612747,LAL,Los Angeles Lakers,0021900754,2020-02-04T00:00:00,LAL vs. SAS,W,48.0,50,85,0.588,12,28,0.429,17,25,0.68,12,46,58,28,14.0,5,4,2,15,16,129,27.0,1,1,1,1,3,4,52,1,26,54,15,37,32,50,19,1,3,19,23,62,50,8,6,64,4,5,102
2019-20,1610612747,LAL,Los Angeles Lakers,0021900736,2020-02-01T00:00:00,LAL @ SAC,W,48.0,44,86,0.512,19,43,0.442,22,27,0.815,11,35,46,33,15.0,10,5,4,22,24,129,16.0,1,1,1,1,3,29,45,19,1,3,13,20,29,15,29,35,30,3,30,19,44,37,39,22,4,14,113
