SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
2019-20,1610612757,POR,Portland Trail Blazers,0041900145,2020-08-29T00:00:00,POR @ LAL,L,48.0,44,93,0.473,13,27,0.481,21,26,0.808,10,33,43,20,19.0,12,1,5,28,20,122,-9.0,1,2,2,2,1,1,2,1,1,5,1,3,3,2,2,2,2,1,5,1,5,3,4,5,1,3
2019-20,1610612757,POR,Portland Trail Blazers,0041900144,2020-08-24T00:00:00,POR vs. LAL,L,48.0,40,89,0.449,12,28,0.429,23,31,0.742,17,25,42,20,17.0,9,2,9,27,28,115,-20.0,1,2,2,2,1,2,3,2,3,4,2,2,2,5,1,5,3,1,3,2,4,5,3,1,2,4
2019-20,1610612757,POR,Portland Trail Blazers,0041900143,2020-08-22T00:00:00,POR vs. LAL,L,48.0,39,95,0.411,12,35,0.343,18,19,0.947,7,31,38,17,11.0,7,4,8,25,21,108,-8.0,1,2,2,2,1,3,1,3,3,1,4,4,4,1,4,3,5,4,1,3,2,4,2,4,3,2
2019-20,1610612757,POR,Portland Trail Blazers,0041900142,2020-08-20T00:00:00,POR @ LAL,L,48.0,34,85,0.4,8,29,0.276,12,16,0.75,10,31,41,14,17.0,6,3,3,17,22,88,-23.0,1,2,2,2,1,4,4,4,5,3,5,5,5,4,2,3,4,5,3,4,3,1,1,3,5,5
2019-20,1610612757,POR,Portland Trail Blazers,0041900141,2020-08-18T00:00:00,POR @ LAL,W,48.0,31,79,0.392,13,34,0.382,25,33,0.758,5,45,50,18,16.0,3,8,4,28,23,100,7.0,1,1,1,1,1,5,5,5,1,2,3,1,1,3,5,1,1,3,2,5,1,2,4,2,4,1
2019-20,1610612745,HOU,Houston Rockets,0041900225,2020-09-12T00:00:00,HOU @ LAL,L,48.0,33,89,0.371,13,49,0.265,17,24,0.708,9,22,31,18,12.0,6,3,7,26,24,96,-23.0,1,6,6,6,2,11,5,12,11,6,12,3,3,10,4,12,10,10,5,11,5,10,10,2,12,12
2019-20,1610612745,HOU,Houston Rockets,0041900224,2020-09-10T00:00:00,HOU vs. LAL,L,48.0,28,65,0.431,14,33,0.424,30,39,0.769,1,25,26,24,17.0,10,6,4,21,27,100,-10.0,1,6,6,6,2,12,12,7,9,11,1,1,1,6,12,10,12,4,10,5,2,4,5,1,10,9
2019-20,1610612745,HOU,Houston Rockets,0041900223,2020-09-08T00:00:00,HOU vs. LAL,L,48.0,38,81,0.469,12,30,0.4,14,14,1.0,6,24,30,23,10.0,8,1,6,18,15,102,-10.0,1,6,6,6,2,5,9,3,12,12,3,9,9,1,7,11,11,5,3,7,11,8,1,11,9,9
2019-20,1610612745,HOU,Houston Rockets,0041900222,2020-09-06T00:00:00,HOU @ LAL,L,48.0,35,78,0.449,22,53,0.415,17,23,0.739,8,27,35,22,17.0,7,2,5,21,17,109,-8.0,1,6,6,6,2,9,11,6,2,3,2,3,4,9,5,9,9,6,10,9,9,7,5,7,6,8
2019-20,1610612745,HOU,Houston Rockets,0041900221,2020-09-04T00:00:00,HOU @ LAL,W,48.0,39,81,0.481,14,39,0.359,20,27,0.741,4,37,41,19,16.0,13,3,9,19,20,112,15.0,1,1,1,1,2,4,9,2,9,10,7,2,2,8,8,3,4,8,8,2,5,12,2,4,4,2
